mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,param_ccp_alpha,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28.253650856018066,0.48640420575407634,0.5778244495391845,0.005377917902863711,250,4,8,sqrt,6,balanced,0.0,False,"{'n_estimators': 250, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 6, 'class_weight': 'balanced', 'ccp_alpha': 0.0, 'bootstrap': False}",0.7221487036220163,0.7205803068176249,0.7289124148409548,0.7249424104298388,0.7276625986374553,0.724849286869578,0.0031606880445093533,22
13.32494797706604,0.5264210475486342,0.42454137802124026,0.008255835442497009,250,7,4,log2,4,balanced,0.001,False,"{'n_estimators': 250, 'min_samples_split': 7, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 4, 'class_weight': 'balanced', 'ccp_alpha': 0.001, 'bootstrap': False}",0.7170269078076753,0.7147478312012939,0.7194775278145371,0.7149438808018429,0.7182277116110376,0.7168847718472774,0.0018373702251202103,29
6.2882325649261475,0.5682321270209331,0.20749106407165527,0.04486311533263441,100,8,8,sqrt,4,balanced,0.001,True,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 'sqrt', 'max_depth': 4, 'class_weight': 'balanced', 'ccp_alpha': 0.001, 'bootstrap': True}",0.7129343723962163,0.7120766553938146,0.7172964760084302,0.7186198108121354,0.7188158604126844,0.7159486350046562,0.0028723106477458724,31
271.98978981971743,9.562107728467907,0.7721521377563476,0.03216653851068782,500,5,4,sqrt,,balanced_subsample,0.01,True,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.01, 'bootstrap': True}",0.7103122089888741,0.707567514581189,0.7136940645983434,0.7118806057932657,0.7125177669950498,0.7111944321913444,0.002116745639637556,38
11.432646226882934,0.12074786216065996,0.35595312118530276,0.008587860249038902,250,9,6,log2,4,,0.01,False,"{'n_estimators': 250, 'min_samples_split': 9, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 4, 'class_weight': None, 'ccp_alpha': 0.01, 'bootstrap': False}",0.7105572709895603,0.708719305984414,0.7124197421947753,0.7096015291868842,0.7107288143900407,0.710405332549135,0.001238899304514605,42
98.08179349899292,1.7315469699677544,3.6340385913848876,0.10799574118471264,500,7,8,log2,,balanced_subsample,0.0,True,"{'n_estimators': 500, 'min_samples_split': 7, 'min_samples_leaf': 8, 'max_features': 'log2', 'max_depth': None, 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.7926775474194971,0.7895652600107828,0.7925305102190854,0.791280694015586,0.7940253884232711,0.7920158800176444,0.0015024519228812115,7
10.579151725769043,0.19481150637787872,0.4140108585357666,0.005168856603305433,250,4,6,log2,4,,0.0,False,"{'n_estimators': 250, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 4, 'class_weight': None, 'ccp_alpha': 0.0, 'bootstrap': False}",0.7184727736117238,0.715066411802186,0.7191344410135765,0.7174190070087733,0.7188403666127531,0.7177866000098024,0.0014786806373374662,28
80.43598809242249,0.37954418955448627,2.572092342376709,0.008743438416412676,250,4,3,sqrt,,balanced_subsample,0.0,True,"{'n_estimators': 250, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced_subsample', 'ccp_alpha': 0.0, 'bootstrap': True}",0.8252707935107583,0.8230652355045827,0.8270842523158359,0.8239719649071215,0.8253933245111013,0.8249571141498799,0.0013684381488970412,3
9.333321380615235,0.079109631567009,0.22339320182800293,0.001708499692568279,100,3,6,auto,6,,0.0,False,"{'n_estimators': 100, 'min_samples_split': 3, 'min_samples_leaf': 6, 'max_features': 'auto', 'max_depth': 6, 'class_weight': None, 'ccp_alpha': 0.0, 'bootstrap': False}",0.7258736460324462,0.7234720384257217,0.7273440180365632,0.7254080282311425,0.7253345096309366,0.7254864480713621,0.001239965291300771,20
139.66076755523682,0.6063415349539143,4.866587781906128,0.0719556474406571,500,8,4,sqrt,,,0.0,True,"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': None, 'ccp_alpha': 0.0, 'bootstrap': True}",0.8206636278978582,0.818114983090722,0.8217664069009459,0.818948193893055,0.8205656030975836,0.820011762976033,0.0013068584611476955,4
224.37641067504882,1.4598110106178472,1.0872354984283448,0.007122998393702264,500,4,4,auto,,,0.001,True,"{'n_estimators': 500, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'class_weight': None, 'ccp_alpha': 0.001, 'bootstrap': True}",0.7368279174631182,0.7308238984463069,0.7382247708670293,0.7350389648581092,0.7370484732637357,0.7355928049796597,0.002593103385383275,10
15.447263097763061,0.2078382602465225,0.3447415351867676,0.00288047925113353,250,6,4,sqrt,4,,0.01,False,"{'n_estimators': 250, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 4, 'class_weight': None, 'ccp_alpha': 0.01, 'bootstrap': False}",0.7083027005832475,0.7074204773807773,0.7124932607949811,0.7103367151889428,0.7107288143900407,0.7098563936675979,0.0018051340828340076,44
