mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_num_boost_round,param_max_depth,param_eta,param_colsample_bytree,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
33.49144639968872,1.3950432300188984,0.22362251281738282,0.02398540156249358,0.8,15,5,0.1,0.9,0.1,"{'subsample': 0.8, 'num_boost_round': 15, 'max_depth': 5, 'eta': 0.1, 'colsample_bytree': 0.9, 'alpha': 0.1}",0.7872126648041955,0.7828995735921188,0.7895407538107141,0.7884869872077636,0.7907415576140764,0.7877763074057735,0.0027022683570016247,17
17.88755054473877,13.267692055172798,0.1920301914215088,0.025042601190738974,0.8,5,6,0.05,1,0.3,"{'subsample': 0.8, 'num_boost_round': 5, 'max_depth': 6, 'eta': 0.05, 'colsample_bytree': 1, 'alpha': 0.3}",0.7334705680537176,0.7313140224476793,0.782752536391707,0.7796647551830613,0.7359702004607166,0.7526344165073764,0.023397644074369818,34
4.302602529525757,0.14324749075871293,0.16315817832946777,0.0020989432415707485,1,10,5,0.001,0.9,0.1,"{'subsample': 1, 'num_boost_round': 10, 'max_depth': 5, 'eta': 0.001, 'colsample_bytree': 0.9, 'alpha': 0.1}",0.7295740822428074,0.7278586482380042,0.7320247022496692,0.7314610596480909,0.7314855658481596,0.7304808116453463,0.001552540788340521,47
31.431483936309814,0.840894002337485,0.21340742111206054,0.014162600144744984,0.9,10,5,0.1,1,0,"{'subsample': 0.9, 'num_boost_round': 10, 'max_depth': 5, 'eta': 0.1, 'colsample_bytree': 1, 'alpha': 0}",0.7880458756065285,0.7825319805910895,0.7894672352105082,0.7876537764054306,0.7912561878155173,0.787791011125815,0.0029174772701820724,16
29.794296550750733,1.798244290827868,0.20518088340759277,0.009748269971711033,0.8,10,5,0.05,0.9,0.3,"{'subsample': 0.8, 'num_boost_round': 10, 'max_depth': 5, 'eta': 0.05, 'colsample_bytree': 0.9, 'alpha': 0.3}",0.7736607361662501,0.7653286281429201,0.7747635151693378,0.7713571533598,0.7761358623731804,0.7722491790422977,0.00379764194093105,26
42.31451416015625,4.022522923694867,0.2589747905731201,0.025194464165192363,0.8,15,8,0.1,0.8,0,"{'subsample': 0.8, 'num_boost_round': 15, 'max_depth': 8, 'eta': 0.1, 'colsample_bytree': 0.8, 'alpha': 0}",0.812282507474391,0.8108856540704799,0.8148801646816645,0.8128216438759006,0.8140714600794001,0.8129882860363672,0.0013927975436648019,2
4.799287509918213,0.1765672032160217,0.16851387023925782,0.009553910725653054,1,5,5,0.001,0.9,0.1,"{'subsample': 1, 'num_boost_round': 5, 'max_depth': 5, 'eta': 0.001, 'colsample_bytree': 0.9, 'alpha': 0.1}",0.7295740822428074,0.7278586482380042,0.7320247022496692,0.7314610596480909,0.7314855658481596,0.7304808116453463,0.001552540788340521,47
40.93855700492859,4.235314285010987,0.22972779273986815,0.01079128268455412,0.8,10,6,0.1,1,0,"{'subsample': 0.8, 'num_boost_round': 10, 'max_depth': 6, 'eta': 0.1, 'colsample_bytree': 1, 'alpha': 0}",0.7976032936332892,0.793388227221487,0.7950301426260844,0.7961084154291036,0.800053913640151,0.7964367985100231,0.0022726432127434157,8
8.971120119094849,1.328377903538457,0.1820085048675537,0.014600295975177273,0.8,15,5,0.001,0.9,0.1,"{'subsample': 0.8, 'num_boost_round': 15, 'max_depth': 5, 'eta': 0.001, 'colsample_bytree': 0.9, 'alpha': 0.1}",0.7298191442434936,0.7286428466402,0.7336911238543351,0.7324413076508357,0.7330784688526197,0.7315345782482968,0.001957614409252743,42
51.28772339820862,3.0096862919387526,0.2718395233154297,0.01361358957662706,1,15,8,0.1,1,0,"{'subsample': 1, 'num_boost_round': 15, 'max_depth': 8, 'eta': 0.1, 'colsample_bytree': 1, 'alpha': 0}",0.8147086212811842,0.809660344067049,0.8130912120766554,0.8155173258834485,0.8157868940842034,0.8137528794785082,0.0022516917537794712,1
24.18104205131531,13.96965264010872,0.22906694412231446,0.06544580915868606,0.9,15,5,0.05,1,0.1,"{'subsample': 0.9, 'num_boost_round': 15, 'max_depth': 5, 'eta': 0.05, 'colsample_bytree': 1, 'alpha': 0.1}",0.7297701318433564,0.7679752977503308,0.7749350585698181,0.7718227711611038,0.7330294564524825,0.7555065431554183,0.019832995954036595,32
25.594749164581298,15.150964822939535,0.21099090576171875,0.033675028494438174,1,10,6,0.05,1,0,"{'subsample': 1, 'num_boost_round': 10, 'max_depth': 6, 'eta': 0.05, 'colsample_bytree': 1, 'alpha': 0}",0.7334215556535804,0.7746654903690634,0.7365338430622947,0.7794196931823751,0.7830466107925305,0.7614174386119689,0.021773267666072994,31
27.328533935546876,10.045835453712936,0.2096743106842041,0.022501173363562218,0.9,15,5,0.05,0.9,0.1,"{'subsample': 0.9, 'num_boost_round': 15, 'max_depth': 5, 'eta': 0.05, 'colsample_bytree': 0.9, 'alpha': 0.1}",0.7734156741655639,0.7670195559476548,0.773342155565358,0.7691515953536244,0.734401803656325,0.7634661569377053,0.014739170452443063,30
45.37499299049377,4.257915647478353,0.25738086700439455,0.0065057919792632585,0.8,10,8,0.1,0.8,0.3,"{'subsample': 0.8, 'num_boost_round': 10, 'max_depth': 8, 'eta': 0.1, 'colsample_bytree': 0.8, 'alpha': 0.3}",0.8110571974709602,0.8092437386658825,0.8126746066754889,0.8132627554771357,0.8138509042787825,0.81201784051365,0.0016709131600381956,6
